# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
EC958_0098	EC958_0098	EC958_0098	protein_coding	0	0	0	116	31	0	0	0	0	0	0	0	85
EC958_0105	EC958_0105	EC958_0105	protein_coding	0	2	0	110	66	0	0	0	0	0	0	2	44
EC958_0110	EC958_0110	EC958_0110	protein_coding	0	0	0	74	6	0	0	0	0	0	0	0	68
EC958_0117	EC958_0117	EC958_0117	protein_coding	0	1	0	9	6	0	0	0	0	0	0	1	3
EC958_0122	EC958_0122	EC958_0122	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	3
EC958_0123	EC958_0123	EC958_0123	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	3
EC958_0127	EC958_0127	EC958_0127	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_0266	EC958_0266	EC958_0266	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_0267	EC958_0267	EC958_0267	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_0275	EC958_0275	EC958_0275	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_0293	EC958_0293	EC958_0293	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_0294	EC958_0294	EC958_0294	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_0295	EC958_0295	EC958_0295	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_0479	EC958_0479	EC958_0479	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_0929	EC958_0929	EC958_0929	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_0936	EC958_0936	EC958_0936	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_0937	EC958_0937	EC958_0937	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_1065	EC958_1065	EC958_1065	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0
EC958_1066	EC958_1066	EC958_1066	protein_coding	0	1	1	4	0	1	0	0	0	0	0	1	4
EC958_1067	EC958_1067	EC958_1067	protein_coding	0	0	0	7	5	0	0	0	0	0	0	0	2
EC958_1068	EC958_1068	EC958_1068	protein_coding	0	0	0	8	2	0	0	0	0	0	0	0	6
EC958_1069	EC958_1069	EC958_1069	protein_coding	0	0	0	9	2	0	0	0	0	0	0	0	7
EC958_1070	EC958_1070	EC958_1070	protein_coding	0	2	0	9	2	0	0	0	0	0	0	2	7
EC958_1071	EC958_1071	EC958_1071	protein_coding	0	1	1	12	4	1	0	0	0	0	0	1	8
EC958_1072	EC958_1072	EC958_1072	protein_coding	0	0	0	15	5	0	0	0	0	0	0	0	10
EC958_1073	EC958_1073	EC958_1073	protein_coding	0	0	1	14	4	1	0	0	0	0	0	0	10
EC958_1074	EC958_1074	EC958_1074	protein_coding	0	1	0	15	5	0	0	0	0	0	0	1	10
EC958_1075	EC958_1075	EC958_1075	protein_coding	0	0	0	16	6	0	0	0	0	0	0	0	10
EC958_1076	EC958_1076	EC958_1076	protein_coding	0	0	1	15	6	1	0	0	0	0	0	0	9
EC958_1077	EC958_1077	EC958_1077	protein_coding	0	4	4	10	7	4	0	0	0	0	0	4	3
EC958_1078	EC958_1078	EC958_1078	protein_coding	0	0	0	13	10	0	0	0	0	0	0	0	3
EC958_1079	EC958_1079	EC958_1079	protein_coding	0	0	1	11	9	1	0	0	0	0	0	0	2
EC958_1080	EC958_1080	EC958_1080	protein_coding	0	0	0	12	10	0	0	0	0	0	0	0	2
EC958_1081	EC958_1081	EC958_1081	protein_coding	0	1	0	13	9	0	0	0	0	0	0	1	4
EC958_1082	EC958_1082	EC958_1082	protein_coding	0	0	0	12	8	0	0	0	0	0	0	0	4
EC958_1083	EC958_1083	EC958_1083	protein_coding	0	0	0	12	8	0	0	0	0	0	0	0	4
EC958_1084	EC958_1084	EC958_1084	protein_coding	0	1	0	11	8	0	0	0	0	0	0	1	3
EC958_1085	EC958_1085	EC958_1085	protein_coding	0	0	0	8	5	0	0	0	0	0	0	0	3
EC958_1086	EC958_1086	EC958_1086	protein_coding	0	0	0	14	4	0	0	0	0	0	0	0	10
EC958_1087	EC958_1087	EC958_1087	protein_coding	0	0	0	14	3	0	0	0	0	0	0	0	11
EC958_1088	EC958_1088	EC958_1088	protein_coding	0	1	2	10	2	2	0	0	0	0	0	1	8
EC958_1089	EC958_1089	EC958_1089	protein_coding	0	0	0	13	5	0	0	0	0	0	0	0	8
EC958_1090	EC958_1090	EC958_1090	protein_coding	0	2	1	9	4	1	0	0	0	0	0	2	5
EC958_1091	EC958_1091	EC958_1091	protein_coding	0	4	1	6	6	1	0	0	0	0	0	4	0
EC958_1092	EC958_1092	EC958_1092	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0
EC958_1093	EC958_1093	EC958_1093	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0
EC958_1094	EC958_1094	EC958_1094	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0
EC958_1095	EC958_1095	EC958_1095	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0
EC958_1096	EC958_1096	EC958_1096	protein_coding	0	0	0	8	8	0	0	0	0	0	0	0	0
EC958_1097	EC958_1097	EC958_1097	protein_coding	0	0	0	11	8	0	0	0	0	0	0	0	3
EC958_1098	EC958_1098	EC958_1098	protein_coding	0	0	0	17	9	0	0	0	0	0	0	0	8
EC958_1099	EC958_1099	EC958_1099	protein_coding	0	0	0	12	1	0	0	0	0	0	0	0	11
EC958_1100	EC958_1100	EC958_1100	protein_coding	0	0	0	16	15	0	0	0	0	0	0	0	1
EC958_1101	EC958_1101	EC958_1101	protein_coding	0	0	0	16	16	0	0	0	0	0	0	0	0
EC958_1102	EC958_1102	EC958_1102	protein_coding	0	0	0	16	0	0	0	0	0	0	0	0	16
EC958_1103	EC958_1103	EC958_1103	protein_coding	0	0	0	17	17	0	0	0	0	0	0	0	0
EC958_1104	EC958_1104	EC958_1104	protein_coding	0	0	0	19	19	0	0	0	0	0	0	0	0
EC958_1105	EC958_1105	EC958_1105	protein_coding	0	0	0	21	21	0	0	0	0	0	0	0	0
EC958_1106	EC958_1106	EC958_1106	protein_coding	0	0	0	21	21	0	0	0	0	0	0	0	0
EC958_1107	EC958_1107	EC958_1107	protein_coding	0	14	1	12	12	1	0	0	0	0	0	14	0
EC958_1108	EC958_1108	EC958_1108	protein_coding	0	0	0	27	11	0	0	0	0	0	0	0	16
EC958_1109	EC958_1109	EC958_1109	protein_coding	0	0	1	26	10	1	0	0	0	0	0	0	16
EC958_1110	EC958_1110	EC958_1110	protein_coding	0	1	1	25	8	1	0	0	0	0	0	1	17
EC958_1111	EC958_1111	EC958_1111	protein_coding	0	1	0	26	7	0	0	0	0	0	0	1	19
EC958_1112	EC958_1112	EC958_1112	protein_coding	0	0	0	27	7	0	0	0	0	0	0	0	20
EC958_1113	EC958_1113	EC958_1113	protein_coding	0	1	0	26	6	0	0	0	0	0	0	1	20
EC958_1114	EC958_1114	EC958_1114	protein_coding	0	0	0	27	6	0	0	0	0	0	0	0	21
EC958_1115	EC958_1115	EC958_1115	protein_coding	0	0	1	26	5	1	0	0	0	0	0	0	21
EC958_1116	EC958_1116	EC958_1116	protein_coding	0	0	0	20	5	0	0	0	0	0	0	0	15
EC958_1117	EC958_1117	EC958_1117	protein_coding	0	1	1	16	3	1	0	0	0	0	0	1	13
EC958_1118	EC958_1118	EC958_1118	protein_coding	0	3	0	13	0	0	0	0	0	0	0	3	13
EC958_1120	EC958_1120	EC958_1120	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	11
EC958_1334	EC958_1334	EC958_1334	protein_coding	0	0	0	33	0	0	0	0	0	0	0	0	33
EC958_1335	EC958_1335	EC958_1335	protein_coding	0	0	0	39	0	0	0	0	0	0	0	0	39
EC958_1336	EC958_1336	EC958_1336	protein_coding	0	0	0	45	0	0	0	0	0	0	0	0	45
EC958_1337	EC958_1337	EC958_1337	protein_coding	0	0	0	48	0	0	0	0	0	0	0	0	48
EC958_1338	EC958_1338	EC958_1338	protein_coding	0	0	0	52	0	0	0	0	0	0	0	0	52
EC958_1339	EC958_1339	EC958_1339	protein_coding	0	0	0	52	0	0	0	0	0	0	0	0	52
EC958_1340	EC958_1340	EC958_1340	protein_coding	0	0	0	72	0	0	0	0	0	0	0	0	72
EC958_1341	EC958_1341	EC958_1341	protein_coding	0	5	0	80	0	0	0	0	0	0	0	5	80
EC958_1343	EC958_1343	EC958_1343	protein_coding	0	0	0	89	9	0	0	0	0	0	0	0	80
EC958_1344	EC958_1344	EC958_1344	protein_coding	0	10	2	82	24	2	0	0	0	0	0	10	58
EC958_1345	EC958_1345	EC958_1345	protein_coding	0	1	1	92	55	1	0	0	0	0	0	1	37
EC958_1346	EC958_1346	EC958_1346	protein_coding	0	6	4	84	45	4	0	0	0	0	0	6	39
EC958_1347	EC958_1347	EC958_1347	protein_coding	0	7	4	84	34	4	0	0	0	0	0	7	50
EC958_1348	EC958_1348	EC958_1348	protein_coding	0	12	3	80	19	3	0	0	0	0	0	12	61
EC958_1349	EC958_1349	EC958_1349	protein_coding	0	7	5	104	23	5	0	0	0	0	0	7	81
EC958_1362	EC958_1362	EC958_1362	protein_coding	0	0	0	121	98	0	0	0	0	0	0	0	23
EC958_1363	EC958_1363	EC958_1363	protein_coding	0	0	0	145	128	0	0	0	0	0	0	0	17
EC958_1365	EC958_1365	EC958_1365	protein_coding	0	48	6	163	148	6	0	0	0	0	0	48	15
EC958_1366	EC958_1366	EC958_1366	protein_coding	0	29	6	193	124	6	0	0	0	0	0	29	69
EC958_1367	EC958_1367	EC958_1367	protein_coding	0	42	16	179	75	16	0	0	0	0	0	42	104
EC958_1369	EC958_1369	EC958_1369	protein_coding	0	4	4	219	69	4	0	0	0	0	0	4	150
EC958_1371	EC958_1371	EC958_1371	protein_coding	0	22	2	193	47	2	0	0	0	0	0	22	146
EC958_1372	EC958_1372	EC958_1372	protein_coding	0	9	11	163	27	11	0	0	0	0	0	9	136
EC958_1373	EC958_1373	EC958_1373	protein_coding	0	6	6	163	15	6	0	0	0	0	0	6	148
EC958_1374	EC958_1374	EC958_1374	protein_coding	0	0	0	169	17	0	0	0	0	0	0	0	152
EC958_1376	EC958_1376	EC958_1376	protein_coding	0	0	1	151	15	1	0	0	0	0	0	0	136
EC958_1377	EC958_1377	EC958_1377	protein_coding	0	4	2	122	9	2	0	0	0	0	0	4	113
EC958_1378	EC958_1378	EC958_1378	protein_coding	0	4	1	84	2	1	0	0	0	0	0	4	82
EC958_1379	EC958_1379	EC958_1379	protein_coding	0	0	2	15	0	2	0	0	0	0	0	0	15
EC958_1380	EC958_1380	EC958_1380	protein_coding	0	0	0	20	3	0	0	0	0	0	0	0	17
EC958_1381	EC958_1381	EC958_1381	protein_coding	0	0	0	22	7	0	0	0	0	0	0	0	15
EC958_1382	EC958_1382	EC958_1382	protein_coding	0	0	0	22	7	0	0	0	0	0	0	0	15
EC958_1384	EC958_1384	EC958_1384	protein_coding	0	2	0	12	5	0	0	0	0	0	0	2	7
EC958_1386	EC958_1386	EC958_1386	protein_coding	0	3	2	5	3	2	0	0	0	0	0	3	2
EC958_1387	EC958_1387	EC958_1387	protein_coding	0	0	0	10	3	0	0	0	0	0	0	0	7
EC958_1392	EC958_1392	EC958_1392	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_1393	EC958_1393	EC958_1393	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	3
EC958_1525	EC958_1525	EC958_1525	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_1532	EC958_1532	EC958_1532	protein_coding	0	2	2	2	0	2	0	0	0	0	0	2	2
EC958_1533	EC958_1533	EC958_1533	protein_coding	0	0	1	5	5	1	0	0	0	0	0	0	0
EC958_1536	EC958_1536	EC958_1536	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1537	EC958_1537	EC958_1537	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1538	EC958_1538	EC958_1538	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1539	EC958_1539	EC958_1539	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1540	EC958_1540	EC958_1540	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5
EC958_1541	EC958_1541	EC958_1541	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1542	EC958_1542	EC958_1542	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1543	EC958_1543	EC958_1543	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1544	EC958_1544	EC958_1544	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1545	EC958_1545	EC958_1545	protein_coding	0	0	2	3	0	2	0	0	0	0	0	0	3
EC958_1546	EC958_1546	EC958_1546	protein_coding	0	0	0	16	11	0	0	0	0	0	0	0	5
EC958_1547	EC958_1547	EC958_1547	protein_coding	0	0	0	12	12	0	0	0	0	0	0	0	0
EC958_1548	EC958_1548	EC958_1548	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	12
EC958_1549	EC958_1549	EC958_1549	protein_coding	0	0	0	12	12	0	0	0	0	0	0	0	0
EC958_1550	EC958_1550	EC958_1550	protein_coding	0	0	0	12	12	0	0	0	0	0	0	0	0
EC958_1551	EC958_1551	EC958_1551	protein_coding	0	0	0	12	12	0	0	0	0	0	0	0	0
EC958_1552	EC958_1552	EC958_1552	protein_coding	0	0	0	12	12	0	0	0	0	0	0	0	0
EC958_1553	EC958_1553	EC958_1553	protein_coding	0	1	1	10	0	1	0	0	0	0	0	1	10
EC958_1554	EC958_1554	EC958_1554	protein_coding	0	4	4	4	2	4	0	0	0	0	0	4	2
EC958_1555	EC958_1555	EC958_1555	protein_coding	0	0	0	12	1	0	0	0	0	0	0	0	11
EC958_1556	EC958_1556	EC958_1556	protein_coding	0	0	1	11	0	1	0	0	0	0	0	0	11
EC958_1557	EC958_1557	EC958_1557	protein_coding	0	0	0	15	3	0	0	0	0	0	0	0	12
EC958_1559	EC958_1559	EC958_1559	protein_coding	0	0	0	15	4	0	0	0	0	0	0	0	11
EC958_1561	EC958_1561	EC958_1561	protein_coding	0	0	0	12	4	0	0	0	0	0	0	0	8
EC958_1562	EC958_1562	EC958_1562	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0
EC958_1563	EC958_1563	EC958_1563	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0
EC958_1564	EC958_1564	EC958_1564	protein_coding	0	1	0	6	6	0	0	0	0	0	0	1	0
EC958_1565	EC958_1565	EC958_1565	protein_coding	0	0	0	7	6	0	0	0	0	0	0	0	1
EC958_1566	EC958_1566	EC958_1566	protein_coding	0	2	0	5	4	0	0	0	0	0	0	2	1
EC958_1567	EC958_1567	EC958_1567	protein_coding	0	1	0	6	3	0	0	0	0	0	0	1	3
EC958_1568	EC958_1568	EC958_1568	protein_coding	0	0	0	7	3	0	0	0	0	0	0	0	4
EC958_1569	EC958_1569	EC958_1569	protein_coding	0	2	1	14	10	1	0	0	0	0	0	2	4
EC958_1570	EC958_1570	EC958_1570	protein_coding	0	0	0	16	10	0	0	0	0	0	0	0	6
EC958_1571	EC958_1571	EC958_1571	protein_coding	0	0	0	16	10	0	0	0	0	0	0	0	6
EC958_1572	EC958_1572	EC958_1572	protein_coding	0	0	0	14	10	0	0	0	0	0	0	0	4
EC958_1573	EC958_1573	EC958_1573	protein_coding	0	3	0	10	7	0	0	0	0	0	0	3	3
EC958_1574	EC958_1574	EC958_1574	protein_coding	0	6	1	6	0	1	0	0	0	0	0	6	6
EC958_1575	EC958_1575	EC958_1575	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	10
EC958_1579	EC958_1579	EC958_1579	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_1580	EC958_1580	EC958_1580	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_1581	EC958_1581	EC958_1581	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_1582	EC958_1582	EC958_1582	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_1583	EC958_1583	EC958_1583	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_1585	EC958_1585	EC958_1585	protein_coding	0	0	2	0	0	2	0	0	0	0	0	0	0
EC958_1586	EC958_1586	EC958_1586	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_1588	EC958_1588	EC958_1588	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_1592	EC958_1592	EC958_1592	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_1617	EC958_1617	EC958_1617	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_1618	EC958_1618	EC958_1618	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_1620	EC958_1620	EC958_1620	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	1
EC958_1623	EC958_1623	EC958_1623	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_1624	EC958_1624	EC958_1624	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_1625	EC958_1625	EC958_1625	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2108	EC958_2108	EC958_2108	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2123	EC958_2123	EC958_2123	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2129	EC958_2129	EC958_2129	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2130	EC958_2130	EC958_2130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2131	EC958_2131	EC958_2131	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
EC958_2132	EC958_2132	EC958_2132	protein_coding	0	1	0	2	0	0	0	0	0	0	0	1	2
EC958_2133	EC958_2133	EC958_2133	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	2
EC958_2134	EC958_2134	EC958_2134	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	2
EC958_2135	EC958_2135	EC958_2135	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	2
EC958_2136	EC958_2136	EC958_2136	protein_coding	0	0	1	2	1	1	0	0	0	0	0	0	1
EC958_2137	EC958_2137	EC958_2137	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	1
EC958_2138	EC958_2138	EC958_2138	protein_coding	0	0	1	2	2	1	0	0	0	0	0	0	0
EC958_2139	EC958_2139	EC958_2139	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_2140	EC958_2140	EC958_2140	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_2141	EC958_2141	EC958_2141	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_2142	EC958_2142	EC958_2142	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0
EC958_2143	EC958_2143	EC958_2143	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2144	EC958_2144	EC958_2144	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2145	EC958_2145	EC958_2145	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2147	EC958_2147	EC958_2147	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2148	EC958_2148	EC958_2148	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2149	EC958_2149	EC958_2149	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2150	EC958_2150	EC958_2150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2151	EC958_2151	EC958_2151	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2152	EC958_2152	EC958_2152	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2153	EC958_2153	EC958_2153	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2154	EC958_2154	EC958_2154	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2155	EC958_2155	EC958_2155	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2156	EC958_2156	EC958_2156	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2157	EC958_2157	EC958_2157	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2158	EC958_2158	EC958_2158	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2159	EC958_2159	EC958_2159	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2335	EC958_2335	EC958_2335	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2336	EC958_2336	EC958_2336	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2337	EC958_2337	EC958_2337	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_2338	EC958_2338	EC958_2338	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
EC958_2339	EC958_2339	EC958_2339	protein_coding	0	0	1	1	1	1	0	0	0	0	0	0	0
EC958_3181	EC958_3181	EC958_3181	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
EC958_3197	EC958_3197	EC958_3197	protein_coding	0	8	0	16	13	0	0	0	0	0	0	8	3
EC958_3198	EC958_3198	EC958_3198	protein_coding	0	1	0	22	10	0	0	0	0	0	0	1	12
EC958_3199	EC958_3199	EC958_3199	protein_coding	0	0	3	20	11	3	0	0	0	0	0	0	9
EC958_3200	EC958_3200	EC958_3200	protein_coding	1	0	0	22	14	0	1	0	0	1	0	0	8
EC958_3204	EC958_3204	EC958_3204	protein_coding	0	3	0	26	19	0	0	0	0	0	0	3	7
EC958_3205	EC958_3205	EC958_3205	protein_coding	0	0	1	19	13	1	0	0	0	0	0	0	6
EC958_3206	EC958_3206	EC958_3206	protein_coding	0	1	0	14	9	0	0	0	0	0	0	1	5
